 CÓDIGO ;MUNICÍPIOS;ANO DE INSTA-LAÇÃO;ALTITUDE (m);DISTÂNCIA RODOVIÁRIA DE MACEIÓ (Km);Latitude;Longitude;CLIMA;Temperatua Máxima;Temperatura Mínima;;;
2700102;Água Branca;1875;570;304,0;"- 09º 15' 39""";"-37º 56' 10""";Tropical chuvoso com verão seco e inverno chuvoso;32º;16º;;;
2700201;Anadia;1801;153;99,6;"- 09º 41' 04""";"-36º 18' 15""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;;
2700300;Arapiraca;1924;264;135,7;"- 09º 45' 09""";"-36º 39' 40""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;31º;;;
2700409;Atalaia;1764;54;48,0;"- 09º 30' 07""";"-36º 01' 22""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;;
2700508;Barra de Santo Antônio;1960;10;37,0;"- 09º 24' 17""";"-35º 30' 26""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;23º;;;
2700607;Barra de São Miguel;1963;2;36,2;"- 09º 50' 24""";"-35º 54' 28""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;; 
2700706;Batalha;1947;120;186,7;"- 09º 40' 40""";"-37º 07' 29""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;39º;22º;;;
2700805;Belém;1962;311;111,9;"- 09º 34' 16""";"-36º 29' 32""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;24º;;;
2700904;Belo Monte;1958;30;216,3;"- 09º 49' 42""";"-37º 16' 48""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;22º;;;
2701001;Boca da Mata;1958;132;68,6;"- 09º 38' 29""";"-36º 13' 13""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;22º;;;
2701100;Branquinha;1962;100;56,0;"- 09º 14' 44""";"-36º 00' 55""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;20º;;;
2701209;Cacimbinhas;1958;270;176,6;"- 09º 24' 01""";"-36º 59' 25""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;20º;;;
2701308;Cajueiro;1958;102;78,2;"- 09º 23' 48""";"-36º 09' 13""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;29º;22º;;;
2701357;Campestre;1997;200;78,2;"- 08º 50' 45""";"-35º 34' 05""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;26º;;;
2701407;Campo Alegre;1960;176;81,4;"- 09º 46' 55""";"-36º 21' 03""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;25º;;;
2701506;Campo Grande;1960;142;170,3;"- 09º 57' 28""";"-36º 47' 30""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;21º;;;
2701605;Canapi;1962;342;251,1;"- 09º 07' 01""";"-37º 36' 08""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;20º;;;
2701704;Capela;1890;84;66,6;"- 09º 24' 27""";"-36º 04' 25""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;21º;;;
2701803;Carneiros;1962;347;223,3;"- 09º 28' 57""";"-37º 22' 38""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;32º;20º;;;
2701902;Chã Preta;1962;463;98,0;"- 09º 15' 19""";"-36º 17' 46""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;15º;;;
2702009;Coité do Nóia;1963;280;128,5;"- 09º 37' 56""";"-36º 34' 43""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;38º;24º;;;
2702108;Colônia Leopoldina;1901;140;106,2;"- 08º 54' 32""";"-35º 43' 30""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;39º;27º;;;
2702207;Coqueiro Seco;1962;31;35,6;"- 09º 38' 18""";"-35º 48' 11""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;28º;16º;;;
2702306;Coruripe;1866;16;131,1;"- 10º 07' 32""";"-36º 10' 32""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;20º;;;
2702355;Craíbas;1982;252;160,6;"- 09º 37' 05""";"-36º 46' 05""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;28º;18º;;;
2702405;Delmiro Gouveia;1952;256;294,8;"- 09º 23' 19""";"-37º 59' 57""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;18º;;;
2702504;Dois Riachos;1960;245;188,8;"- 09º 23' 33""";"-37º 06' 02""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;25º;;;
2702553;Estrela de Alagoas;1993;290;147,0;"- 09º 23' 25""";"-36º 45' 36""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;21º;;;
2702603;Feira Grande;1954;220;153,7;"- 09º 54' 01""";"-36º 40' 39""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;20º;;;
2702702;Feliz Deserto;1960;6;155,6;"- 10º 17' 31""";"-36º 18' 22""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;25º;;;
2702801;Flexeiras;1960;78;60,7;"- 09º 11' 51""";"-35º 46' 51""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;28º;18º;;;
2702900;Girau do Ponciano;1958;244;161,0;"- 09º 53' 03""";"-36º 49' 44""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;38º;21º;;;
2703007;Ibateguara;1957;505;103,1;"- 08º 58' 21""";"-35º 56' 22""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;28º;18º;;;
2703106;Igaci;1957;240;152,7;"- 09º 32' 13""";"-36º 38' 01""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;18º;;;
2703205;Igreja Nova;1890;14;167,8;"- 10º 07' 31""";"-36º 39' 43""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;22º;;;
2703304;Inhapi;1962;410;263,1;"- 09º 13' 17""";"-37º 44' 55""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;32º;28º;;;
2703403;Jacaré dos Homens;1957;135;196,4;"- 09º 38' 08""";"-37º 12' 17""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;18º;;;
2703502;Jacuípe;1958;74;139,9;"- 08º 50' 30""";"-35º 27' 36""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;29º;18º;;;
2703601;Japaratinga;1960;5;110,8;"- 09º 05' 18""";"-35º 15' 30""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;21º;;;
2703700;Jaramataia;1962;164;174,0;"- 09º 39' 34""";"-37º 00' 07""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;38º;22º;;;
2703759;Jequiá da Praia;2001;16;68,0;"- 10º 00' 51""";"-36º 01' 47""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;23º;;;
2703809;Joaquim Gomes;1962;104;62,7;"- 09º 08' 00""";"-35º 44' 54""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;20º;;;
2703908;Jundiá;1960;94;107,1;"- 08º 56' 05""";"-35º 34' 25""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;26º;;;
2704005;Junqueiro;1947;175;118,0;"- 09º 55' 31""";"-36º 28' 33""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;22º;;;
2704104;Lagoa da Canoa;1962;283;149,6;"- 09º 49' 47""";"-36º 44' 16""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;22º;;;
2704203;Limoeiro de Anadia;1882;140;116,6;"- 09º 44' 26""";"-36º 30' 10""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;25º;;;
2704302;Maceió;1815;16;0,0;"- 09º 39' 57""";"-35º 44' 07""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;29º;24º;;;
2704401;Major Isidoro;1949;182;194,3;"- 09º 31' 56""";"-36º 59' 06""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;18º;;;
2704906;Mar Vermelho;1962;542;110,3;"- 09º 26' 51""";"-36º 23' 17""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;26º;13º;;;
2704500;Maragogi;1875;5;110,8;"- 09º 00' 44""";"-35º 13' 21""";Tropical chuvoso, de monção com verão seco;36º;18º;;;
2704609;Maravilha;1958;362;232,7;"- 09º 14' 08""";"-37º 21' 00""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;37º;23º;;;
2704708;Marechal Deodoro;1636;31;28,2;"- 09º 42' 37""";"-35º 53' 42""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;29º;22º;;;
2704807;Maribondo;1962;157;87,5;"- 09º 34' 38""";"-36º 18' 19""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;22º;;;
2705002;Mata Grande;1837;633;266,1;"- 09º 07' 03""";"-37º 43' 56""";Tropical chuvoso com verão seco e inverno chuvoso;33º;15º;;;
2705101;Matriz de Camaragibe;1958;16;68,1;"- 09º 09' 06""";"-35º 32' 00""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;31º;18º;;;
2705200;Messias;1962;148;25,7;"- 09º 23' 00""";"-35º 50' 30""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;22º;;;
2705309;Minador do Negrão;1962;270;169,9;"- 09º 18' 19""";"-36º 51' 53""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;35º;14º;;;
2705408;Monteirópolis;1960;228;202,6;"- 09º 36' 10""";"-37º 14' 54""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;32º;25º;;;
2705507;Murici;1872;82;43,5;"- 09º 18' 24""";"-35º 56' 36""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;20º;;;
2705606;Novo Lino;1962;146;79,9;"- 08º 54' 54""";"-35º 38' 48""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;22º;;;
2705705;Olho d'Água das Flores;1953;286;206,7;"- 09º 32' 10""";"-37º 17' 38""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;36º;16º;;;
2705804;Olho d'Água do Casado;1962;230;271,6;"- 09º 30' 07""";"-37º 50' 02""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;36º;26º;;;
2705903;Olho d'Água Grande;1962;118;183,5;"- 10º 03' 30""";"-36º 49' 00""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;29º;22º;;;
2706000;Olivença;1958;231;248,8;"- 09º 31' 07""";"-37º 11' 26""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;35º;22º;;;
2706109;Ouro Branco;1962;380;252,6;"- 09º 10' 00""";"-37º 21' 24""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;33º;23º;;;
2706208;Palestina;1962;160;224,0;"- 09º 40' 19""";"-37º 19' 45""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;25º;;;
2706307;Palmeira dos Índios;1835;342;134,8;"- 09º 24' 26""";"-36º 37' 39""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;38º;12º;;;
2706406;Pão de Açúcar;1854;19;239,2;"- 09º 44' 54""";"-37º 26' 12""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;42º;26º;;;
2706422;Pariconha;1993;550;314,0;"- 09º 15' 10""";"-38º 00' 17""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;32º;22º;;;
2706448;Paripueira;1993;5;27,0;"- 09º 27' 54""";"-35º 33' 06""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;23º;;;
2706505;Passo de Camaragibe;1852;4;64,1;"- 09º 14' 18""";"-35º 29' 36""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;;
2706604;Paulo Jacinto;1953;292;104,5;"- 09º 21' 58""";"-36º 22' 11""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;14º;;;
2706703;Penedo;1636;27;171,8;"- 10º 17' 25""";"-36º 35' 11""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;22º;;;
2706802;Piaçabuçu;1882;3;183,7;"- 10º 24' 20""";"-36º 26' 04""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;38º;26º;;;
2706901;Pilar;1857;13;36,2;"- 09º 35' 50""";"-35º 57' 24""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;22º;;;
2707008;Pindoba;1957;310;87,3;"- 09º 28' 31""";"-36º 17' 24""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;18º;;;
2707107;Piranhas;1887;88;291,4;"- 09º 37' 25""";"-37º 45' 24""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;39º;20º;;;
2707206;Poço das Trincheiras;1958;292;215,7;"- 09º 18' 45""";"-37º 17' 08""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;35º;23º;;;
2707305;Porto Calvo;1636;54;91,1;"- 09º 02' 42""";"-35º 23' 54""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;20º;;;
2707404;Porto de Pedras;1815;22;100,2;"- 09º 09' 30""";"-35º 17' 42""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;19º;;;
2707503;Porto Real do Colégio;1876;10;172,2;"- 10º 11' 09""";"-36º 50' 24""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;23º;;;
2707602;Quebrangulo;1872;366;128,1;"- 09º 19' 08""";"-36º 28' 16""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;14º;;;
2707701;Rio Largo;1915;39;27,4;"- 09º 28' 42""";"-35º 51' 12""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;17º;;;
2707800;Roteiro;1963;32;82,0;"- 09º 49' 58""";"-35º 58' 40""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;22º;;;
2707909;Santa Luzia do Norte;1962;32;27,0;"- 09º 36' 12""";"-35º 49' 21""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;32º;18º;;;
2708006;Santana do Ipanema;1875;250;207,3;"- 09º 22' 42""";"-37º 14' 43""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;39º;20º;;;
2708105;Santana do Mundaú;1960;221;97,6;"- 09º 10' 05""";"-36º 13' 20""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;18º;;;
2708204;São Brás;1947;25;202,6;"- 10º 07' 40""";"-36º 54' 02""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;27º;;;
2708303;São José da Laje;1876;256;88,0;"- 09º 00' 35""";"-36º 03' 30""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;18º;;;
2708402;São José da Tapera;1957;255;220,3;"- 09º 33' 30""";"-37º 22' 52""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;37º;16º;;;
2708501;São Luís do Quitunde;1879;4;52,1;"- 09º 19' 06""";"-35º 33' 40""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;19º;;;
2708600;São Miguel dos Campos;1832;12;68,8;"- 09º 46' 52""";"-36º 05' 37""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;24º;;;
2708709;São Miguel dos Milagres;1960;1;85,4;"- 09º 15' 56""";"-35º 22' 23""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;25º;;;
2708808;São Sebastião;1960;201;130,1;"- 09º 56' 01""";"-36º 33' 15""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;22º;;;
2708907;Satuba;1960;6;22,0;"- 09º 33' 48""";"-35º 49' 28""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;39º;17º;;;
2708956;Senador Rui Palmeira;1982;352;227,5;"- 09º 27' 59""";"-37º 27' 25""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;39º;20º;;;
2709004;Tanque d'Arca;1962;212;123,2;"- 09º 31' 55""";"-36º 25' 58""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;24º;;;
2709103;Taquarana;1962;159;112,8;"- 09º 38' 42""";"-36º 29' 50""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;22º;;;
2709152;Teotônio Vilela;1987;156;101,2;"- 09º 54' 19""";"-36º 21' 10""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;20º;;;
2709202;Traipu;1835;10;188,3;"- 09º 58' 14""";"-37º 00' 12""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;40º;20º;;;
2709301;União dos Palmares;1831;155;76,8;"- 09º 09' 46""";"-36º 01' 55""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;28º;18º;;;
2709400;Viçosa;1831;210;86,0;"- 09º 22' 17""";"-36º 14' 27""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;35º;22º;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
